algorithm,input_size,runs,wall_time_s,energy_kwh,emissions_kgco2eq
bubble,10000,30,206.016378,0.003224872235,0.000937808970
counting,10000,30,2.082238,0.000010719023,0.000003117146
merge,10000,30,2.220540,0.000008151119,0.000002370386
quick,10000,30,2.299197,0.000015948604,0.000004637934
